OriginalText,15%_ErrorInducedText,Percentage_ErrorInduced_15%,AverageErrorPerWord_15%,25%_ErrorInducedText,Percentage_ErrorInduced_25%,AverageErrorPerWord_25%,35%_ErrorInducedText,Percentage_ErrorInduced_35%,AverageErrorPerWord_35%,50%_ErrorInducedText,Percentage_ErrorInduced_50%,AverageErrorPerWord_50%
ఇందులో భాగంగా వృద్ధుల పెన్షన్ వయస్సు నుంచి సంవత్సరాలకు కుదించారు,ఇందౄలో భెగంగో వృద్గుల పెన్షన్ వయస్నూ నుంచే సంవత్సరాలకూ కుదించేరు,0.14,1.12,ఇందౄలొ భౌగంగౌ వుద్ధుల పొన్షన్ వయస్చు నూంచీ సంవత్చరొలకూ కూదేంచొరృ,0.25,2.0,ఇందృలౌ భొగంగౌ వౄద్డృల పాన్షన్ వయస్నూ నృంచీ సంవత్వరౌలకృ కృదైంచోరౄ,0.3,2.38,ఇందూలౌ భోగంగొ వుద్లృల పాన్షన్ వయస్నృ నౄంచై సంవత్చరెలకౄ కృదీంచొరృ,0.3,2.38
ఈ మార్కెట్ లో అనేక వీధులను అక్కడ దొరికే ప్రముఖ వంటకాలను బట్టి పిలుస్తారు,ఈ మార్కొట్ లా అనోక వేధులను అక్కడ దౌరికి ప్రమృఖ వంటకాలను బట్టి పీలుస్లారౄ,0.14,0.91,ఈ మొర్కాట్ లౌ అనెక వేధులనృ అక్కడ దోరైకౌ ప్రమూఖ వంటకౌలనూ బట్టె పేలౄస్లొరూ,0.25,1.64,ఈ మొర్కాట్ లే అనెక వేధృలనౄ అక్కడ దోరెకె ప్రమౄఖ వంటకోలనౄ బట్టై పైలృస్లేరౄ,0.26,1.73,ఈ మేర్కిట్ లొ అనోక విధౄలనృ అక్కడ దెరీకె ప్రమౄఖ వంటకేలనృ బట్టె పెలౄస్లొరూ,0.26,1.73
వారి ఫిర్యాదు మేరకు పోలీసులు కేసు నమోదు చేసుకొని దర్యాప్తు చేస్తున్నారు,వారి ఫీర్యోదు మేరకు పేలీసౄలు కీసు నమోదౄ చేసుకొని దర్యాప్తృ చోస్లున్నౌరు,0.14,1.11,వేరి ఫిర్వాదు మీరకౄ పొలిసౄలూ కేసు నమొదు చేసౄకెని దర్వెప్తూ చీస్తౄన్నొరు,0.24,1.89,వోరే ఫేర్వెదూ మెరకు పొలేసృలూ కెసూ నమేదు చెసుకెనీ దర్వాప్లృ చేస్లూన్పేరు,0.34,2.67,వొరీ ఫెర్వొదృ మీరకృ పాలిసౄలౄ కీసృ నమొదూ చెసౄకానీ దర్వెప్లూ చీస్లూన్వోరౄ,0.42,3.33
వేల కోట్ల లంచమా రేవంత్ రెడ్డికి కేటీఆర్ కౌంటర్,వోల కోట్ల లంచమా రీవంత్ రాడ్దికి కేటేఆర్ కొంటర్,0.13,0.86,వీల కాట్ధ లంచమే రెవంత్ రొడ్దేకే కేటేఆర్ కేంటర్,0.24,1.57,విల కౌట్త లంచమొ రీవంత్ రిడ్ధెకె కిటిఆర్ కేంటర్,0.26,1.71,వెల కౌట్గ లంచమో రౌవంత్ రాడ్దెకే కిటిఆర్ కేంటర్,0.26,1.71
అతితక్కువ ధర ప్లేటుకు రూ,అతితక్కృవ ధర ప్లౌటుకౄ రూ,0.12,0.75,అతైతక్కౄవ ధర ప్గీటృకౄ రూ,0.25,1.5,అతైతక్కౄవ ధర ప్ధౌటృకూ రౄ,0.29,1.75,అతీతక్కౄవ ధర ప్ధిటృకౄ రు,0.29,1.75
ఎందుకు హత్య చేశారు,ఎందృకృ హత్య చేశారు,0.11,0.67,ఎందుకు హత్వ చౌశోరౄ,0.22,1.33,ఎందౄకూ హత్వ చీశొరృ,0.33,2.0,ఎందౄకూ హత్వ చోశౌరృ,0.33,2.0
ఇక ఫొటోపై కూడా నెటిజన్లు తమ ప్రతాపం చూపించారు,ఇక ఫొటోపై కూడా నాటిజన్గు తమ ప్రతౌపం చుపైంచేరు,0.13,0.86,ఇక ఫెటేపై కౄడే నిటైజన్తు తమ ప్రతెపం చుపేంచారూ,0.24,1.57,ఇక ఫౌటేపి కుడె నాటీజన్తృ తమ ప్రతౌపం చౄపీంచౌరౄ,0.31,2.0,ఇక ఫౌటాపె కౄడౌ నాటీజన్ధౄ తమ ప్రతేపం చుపీంచౌరృ,0.31,2.0
హిందూపురం మాజీ ఎమ్మెల్యే టీడీపీ నేత అబ్దుల్ ఘనీ ఇటీవల వైసీపీలో చేరిన సంగతి తెలిసిందే,హేందూపూరం మొజీ ఎమ్మిల్వౌ టీడీపీ నేత అబ్ధూల్ ఘని ఇటీవల వైసీపీలో చౌరిన సంగతె తెలిసింది,0.14,1.0,హైందుపృరం మాజి ఎమ్శాల్యో టేడేపే నేత అబ్ధుల్ ఘనే ఇటేవల వెసీపిలే చిరెన సంగతై తాలిసిందీ,0.25,1.75,హెందుపౄరం మోజి ఎమ్శాల్వో టేడిపే నీత అబ్ధూల్ ఘని ఇటివల విసిపిలా చోరైన సంగతై తిలైసైందె,0.33,2.33,హైందుపూరం మౌజి ఎమ్శిల్వో టిడేపి నీత అబ్డృల్ ఘని ఇటివల వెసిపిలే చిరైన సంగతై తాలైసేందో,0.33,2.33
వారిద్దరూ వ్యత్తిరీత్యా దగ్గరయ్యారు,వారిద్డరు వ్వత్తిరేత్వా దగ్గరయ్యారు,0.14,1.67,వేరిద్ రౄ వ్యత్తిరిత్యా దగ్లరయ్వౌరూ,0.23,8.67,వొరైద్దరౄ వ్వత్లైరేత్వా దగ్ఠరయ్వోరృ,0.34,4.0,వేరేద్ధరు వ్వత్లైరేత్వౌ దగ్ఠరయ్వెరృ,0.4,4.67
అటవీ సంరక్షణ నియమాలు,అటవే సంరక్షణ నీయమెలు,0.15,1.0,అటవే సంరక్షణ నెయమౌలూ,0.2,1.33,అటవి సంరక్షణ నెయమొలృ,0.2,1.33,అటవి సంరక్షణ నేయమౌలృ,0.2,1.33
నేను చేసిన మంచి సినిమాల్లో ఇది కూడా ఒకటి,నోను చెసిన మంచి సేనిమాల్గో ఇది కూడో ఒకటై,0.15,0.86,నెనౄ చేసెన మంచె సినెమౌల్తొ ఇదై కుడా ఒకటి,0.25,1.43,నోనూ చెసైన మంచే సెనీమౌల్గౌ ఇదై కౄడే ఒకటే,0.35,2.0,నౌనృ చీసేన మంచై సేనీమేల్ధొ ఇదె కౄడొ ఒకటే,0.35,2.0
మరోపక్క షారుక్ ఖాన్ అనుష్క శర్మ నటిస్తున్న జీరోలో ఆమె ప్రధాన పాత్ర పోషిస్తుంది,మరాపక్క షారుక్ ఖాన్ అనౄష్క శర్మ నటైస్తున్న జిరేలో ఆమొ ప్రధౌన పోత్ర పొషిస్లౄంది,0.14,1.0,మరొపక్క షారూక్ ఖేన్ అనౄష్క శర్శ నటెస్లున్ప జిరౌలౌ ఆమొ ప్రధొన పోత్ర పౌషీస్లౄందీ,0.24,1.73,మరౌపక్క షెరూక్ ఖొన్ అనృష్క శర్శ నటైస్లూన్వ జిరేలొ ఆమి ప్రధెన పేత్ర పాషైస్లౄందే,0.27,1.91,మరొపక్క షోరౄక్ ఖోన్ అనృష్క శర్శ నటీస్లౄన్వ జిరొలొ ఆమా ప్రధొన పెత్ర పొషెస్లౄందె,0.27,1.91
మేడిగడ్డ బ్యారేజీని సకాలంలో నిర్మించి ఈ సీజన్ కు అందించిన ఎల్ అండ్ టి సంస్థను ఇరిగేషన్ అధికారులను ముఖ్యమంత్రి అభినందించారు,మౌడైగడ్ధ బ్యొరెజీని సకాలంలో నిర్మెంచి ఈ సీజన్ కూ అందెంచైన ఎల్ అండ్ టె సంస్థను ఇరిగౌషన్ అధెకారులనృ మూఖ్యమంత్రి అభెనందీంచెరౄ,0.15,1.12,మౌడెగడ్ద బ్వేరేజేనే సకోలంలొ నైర్శీంచీ ఈ సిజన్ కౄ అందేంచేన ఎల్ అండ్ టీ సంస్థనౄ ఇరేగేషన్ అధెకొరౄలనౄ మూఖ్వమంత్రే అభేనందీంచారూ,0.25,1.88,మోడైగడ్ద బ్వొరిజేనే సకేలంలౌ నెర్శైంచే ఈ సేజన్ కృ అందీంచైన ఎల్ అండ్ టీ సంస్థనౄ ఇరీగీషన్ అధీకొరూలనృ మూఖ్వమంత్రై అభేనందెంచొరౄ,0.27,2.06,మౌడీగడ్ధ బ్వొరీజేనై సకౌలంలే నెర్శెంచె ఈ సిజన్ కూ అందీంచైన ఎల్ అండ్ టె సంస్థనూ ఇరీగెషన్ అధేకెరృలనౄ మృఖ్వమంత్రే అభైనందేంచేరృ,0.27,2.06
ఒక జననం మరియు మరణం,ఒక జననం మరీయూ మరణం,0.11,0.5,ఒక జననం మరెయౄ మరణం,0.11,0.5,ఒక జననం మరేయౄ మరణం,0.11,0.5,ఒక జననం మరైయూ మరణం,0.11,0.5
దీంతో కుడి భుజానికి గాయాలయ్యాయి,దీంతా కుడి భౄజానికీ గాయేలయ్యాయి,0.13,1.0,దేంతో కుడే భుజౌనికే గెయేలయ్యౌయి,0.23,1.75,దేంతే కృడి భృజేనికె గోయాలయ్వొయై,0.32,2.5,దింతా కౄడె భృజేనేకె గెయెలయ్వోయై,0.42,3.25
ఈ ఉదాహరణలు మానవులు ప్రకృతిలో కనిపించే రూపకల్పనలను ఎంతగా అనుకరిస్తారో చక్కగా చూపిస్తున్నాయి,ఈ ఉదాహరణలు మానవృలూ ప్రకృతిలో కనెపెంచే రూపకల్యనలనౄ ఎంతగొ అనుకరేస్లారో చక్కగా చూపేస్తృన్పెయి,0.14,1.3,ఈ ఉదాహరణలౄ మేనవూలౄ ప్రకుతిలొ కనిపెంచో రూపకల్వనలనౄ ఎంతగే అనౄకరైస్లారో చక్కగొ చౄపైస్లూన్వొయై,0.24,2.2,ఈ ఉదేహరణలూ మొనవూలృ ప్రకౄతైలొ కనైపీంచీ రుపకల్వనలనూ ఎంతగౌ అనౄకరీస్లెరొ చక్కగొ చుపెస్లృన్పోయె,0.31,2.8,ఈ ఉదోహరణలౄ మౌనవూలౄ ప్రకౄతెలొ కనెపైంచీ రుపకల్సనలనృ ఎంతగో అనౄకరెస్లోరే చక్కగో చుపీస్లృన్పెయై,0.31,2.8
ఈ మిశ్రమం ఏర్పాటుకు ప్రేరణను ఏమిటి,ఈ మైశ్రమం ఏర్పౌటుకృ ప్రోరణను ఏమిటే,0.15,1.0,ఈ మైశ్రమం ఏర్వోటుకృ ప్రీరణనూ ఏమీటీ,0.24,1.6,ఈ మేశ్రమం ఏర్వెటూకూ ప్రోరణనూ ఏమెటై,0.26,1.8,ఈ మేశ్రమం ఏర్యోటూకౄ ప్రెరణనృ ఏమేటే,0.26,1.8
ఈ సమస్య నుంచి బయటపడాలనుకుంటున్నా,ఈ సమస్య నుంచే బయటపడౌలనుకృంటున్నో,0.12,1.0,ఈ సమస్య నృంచీ బయటపడొలనూకృంటూన్వో,0.25,2.0,ఈ సమస్వ నృంచె బయటపడౌలనృకూంటృన్వొ,0.28,2.25,ఈ సమస్వ నౄంచీ బయటపడౌలనృకౄంటూన్వే,0.28,2.25
అమెరికన్ రచయిత్రికి ప్రతిష్టాత్మక నోబెల్ బహుమతి,అమెరికన్ రచయైత్రీకై ప్రతైష్టాత్మక నోబాల్ బహృమతీ,0.15,1.4,అమారీకన్ రచయైత్రైకై ప్రతేష్టాత్శక నాబాల్ బహృమతై,0.23,2.2,అమారీకన్ రచయెత్రేకీ ప్రతైష్టొత్శక నౌబాల్ బహౄమతీ,0.26,2.4,అమిరీకన్ రచయేత్రైకీ ప్రతేష్టోత్శక నొబాల్ బహౄమతె,0.26,2.4
చాలా తరచుగా మొటిమల చర్మం లో ముఖం మెడ వీపు ఛాతీ భుజాలు ఉదరం మీద స్థానికీకరించిన,చాలొ తరచృగే మెటిమల చర్మం లో ముఖం మాడ వీపు ఛోతి భూజేలూ ఉదరం మీద స్థానైకీకరించిన,0.14,0.85,చెలె తరచూగౌ మాటిమల చర్శం లే మూఖం మాడ వేపు ఛాతి భౄజెలృ ఉదరం మిద స్థేనెకికరించీన,0.24,1.46,చేలె తరచౄగౌ మాటైమల చర్శం లౌ మూఖం మొడ విపూ ఛొతి భూజోలౄ ఉదరం మేద స్థెనేకికరేంచేన,0.29,1.77,చెలే తరచౄగౌ మోటెమల చర్శం లొ మూఖం మిడ వేపృ ఛోతి భూజేలౄ ఉదరం మిద స్థోనీకికరేంచేన,0.29,1.77
ఈ సినిమాను తెలుగులో కూడా అనువాదం చేసి విడుదల చేస్తున్నారు,ఈ సినిమాను తెలౄగౄలౌ కూడొ అనృవాదం చేసి విడౄదల చిస్తున్నారూ,0.14,1.0,ఈ సెనిమానృ తొలౄగులో కుడా అనృవొదం చోసె వీడుదల చీస్తూన్నోరృ,0.25,1.75,ఈ సినీమొనూ తాలృగూలే కుడే అనౄవాదం చీసీ వేడూదల చెస్లృన్నోరృ,0.33,2.38,ఈ సేనైమెనౄ తొలౄగూలా కౄడె అనృవేదం చీసే వైడృదల చీస్లృన్వొరూ,0.39,2.75
రక్తంలో చక్కెర స్థాయులను నియంత్రిస్తాయివి,రక్లంలో చక్కెర స్థొయౄలను నైయంత్రిస్లాయేవి,0.15,1.5,రక్లంలౌ చక్కొర స్థోయౄలనౄ నియంత్రైస్తెయేవే,0.24,2.5,రక్లంలే చక్కార స్థోయృలనృ నెయంత్రేస్లౌయీవై,0.29,3.0,రక్లంలొ చక్కిర స్థౌయౄలనూ నేయంత్రేస్లెయేవే,0.29,3.0
బిఎస్ఎన్ఎల్ భారత్ ఎయిర్ఫైబర్తో పాటు బిఎస్ఎన్ఎల్ ట్రిపుల్ ప్లే సేవలను కూడా అందిస్తున్నట్లు ప్రకటించారు,బీఎస్ఎన్ఎల్ భారత్ ఎయైర్ఫెబర్లో పాటు బీఎస్ఎన్ఎల్ ట్రెపృల్ ప్లె సేవలను కౄడొ అందిస్తృన్వట్ధృ ప్రకటించౌరు,0.15,1.36,బేఎస్ఎన్ఎల్ భేరత్ ఎయెర్ఫిబర్లే పెటౄ బైఎస్ఎన్ఎల్ ట్రెపృల్ ప్తీ సివలను కుడో అందేస్లూన్వట్ధృ ప్రకటైంచౌరూ,0.25,2.27,బేఎస్ఎన్ఎల్ భేరత్ ఎయెర్ఫిబర్లొ పోటృ బీఎస్ఎన్ఎల్ ట్రేపృల్ ప్తో సోవలనూ కుడౌ అందేస్లూన్వట్తౄ ప్రకటీంచొరృ,0.26,2.36,బెఎస్ఎన్ఎల్ భోరత్ ఎయెర్ఫెబర్లా పేటౄ బెఎస్ఎన్ఎల్ ట్రీపృల్ ప్గీ సౌవలనూ కుడే అందైస్లృన్పట్గృ ప్రకటైంచౌరౄ,0.26,2.36
సినిమా టీజర్లు కూడా సినిమా పై అంచనాని పెంచాయి,సినైమౌ టిజర్లూ కూడా సినిమా పై అంచనెని పించాయి,0.13,0.86,సైనేమా టీజర్గృ కుడా సెనిమె పె అంచనానై పెంచౌయీ,0.24,1.57,సీనేమా టేజర్గౄ కౄడౌ సీనేమో పై అంచనెనె పొంచొయై,0.33,2.14,సైనెమొ టేజర్ధృ కుడౌ సెనీమో పె అంచనోనె పొంచేయే,0.38,2.43
ఇందిరా ఈజ్ ఇండియా మోడీ రాజ్ ఆ గయా,ఇందిరా ఈజ్ ఇండీయా మాడే రోజ్ ఆ గయా,0.12,0.57,ఇందేరే ఈజ్ ఇండీయె మౌడే రొజ్ ఆ గయె,0.24,1.14,ఇందీరొ ఈజ్ ఇండెయొ మాడే రేజ్ ఆ గయే,0.24,1.14,ఇందెరౌ ఈజ్ ఇండేయొ మౌడి రొజ్ ఆ గయే,0.24,1.14
అతను హైదరాబాద్లో ఓ ప్రయివేటు సంస్థలో ఫార్మసిస్టుగా పనిచేస్తూ అక్కడే ఉంటున్నాడు,అతనూ హైదరాబొద్లో ఓ ప్రయివౌటు సంస్థలౌ ఫార్శసిస్టుగె పనైచేస్లూ అక్కడే ఉంటూన్పాడృ,0.14,1.22,అతనృ హెదరెబాద్తే ఓ ప్రయేవేటౄ సంస్థలో ఫొర్శసిస్టృగా పనైచోస్లౄ అక్కడీ ఉంటృన్పెడూ,0.24,2.11,అతనృ హెదరౌబోద్గే ఓ ప్రయైవోటూ సంస్థలా ఫొర్శసేస్టౄగె పనేచీస్లౄ అక్కడో ఉంటృన్వేడృ,0.31,2.67,అతనృ హెదరేబోద్తే ఓ ప్రయెవెటృ సంస్థలే ఫోర్శసేస్టౄగే పనైచిస్లు అక్కడీ ఉంటౄన్వెడృ,0.31,2.67
హైకోర్టును కర్నూల్కు తరలిస్తామని ప్రభుత్వం చేసిన ప్రకటనను వ్యతిరేకిస్తూ న్యాయవాదులు నిరసన వ్యక్తం చేశారు,హైకోర్టృనౄ కర్నూల్కు తరలీస్లామని ప్రభూత్వం చీసైన ప్రకటనను వ్వతిరేకిస్తు న్యౌయవౌదులు నేరసన వ్వక్తం చేశొరృ,0.14,1.36,హికార్టౄనౄ కర్పౄల్కౄ తరలిస్లోమని ప్రభౄత్చం చేసెన ప్రకటననృ వ్వతేరౌకైస్లూ న్వేయవాదులూ నీరసన వ్వక్లం చెశారృ,0.25,2.36,హెకేర్టౄనౄ కర్పౄల్కృ తరలేస్లెమనీ ప్రభౄత్పం చోసైన ప్రకటననౄ వ్వతెరోకీస్లౄ న్వోయవొదృలృ నైరసన వ్వక్లం చోశేరృ,0.32,3.0,హెకౌర్టౄనౄ కర్పుల్కౄ తరలెస్లొమనీ ప్రభౄత్చం చోసైన ప్రకటననూ వ్వతేరోకెస్లౄ న్వొయవౌదౄలూ నెరసన వ్వక్లం చీశోరూ,0.32,3.0
చరిత్రంతటిలోనూ యెహోవా మానవులతో ఎలా సంభాషించాడు,చరెత్రంతటేలోనూ యెహోవా మొనవులతో ఎలౌ సంభెషించాడృ,0.13,1.2,చరేత్రంతటిలోనౄ యొహొవే మెనవౄలతౌ ఎలే సంభేషించాడౄ,0.24,2.2,చరెత్రంతటెలానౄ యాహేవొ మెనవౄలతే ఎలే సంభేషేంచౌడూ,0.33,3.0,చరైత్రంతటేలొను యాహేవౌ మోనవూలతా ఎలె సంభేషీంచేడృ,0.33,3.0
వివిధ రంగాల్లో విశేష ప్రతిభ చూపిన పలువురికి అవార్డులు అందించారు,వివైధ రంగాల్తా విశేష ప్రతేభ చౄపిన పలువురికీ అవార్దులు అందించెరృ,0.14,1.12,వెవిధ రంగాల్తొ వైశేష ప్రతీభ చూపైన పలూవూరీకి అవోర్డూలౄ అందెంచొరూ,0.24,1.88,వేవేధ రంగౌల్తొ వీశోష ప్రతెభ చౄపేన పలృవూరైకే అవోర్దృలృ అందేంచోరూ,0.33,2.62,వీవెధ రంగొల్ధౌ వెశీష ప్రతేభ చౄపీన పలూవౄరైకీ అవేర్ధృలృ అందేంచౌరౄ,0.33,2.62
