OriginalText,15%_ErrorInducedText,Percentage_ErrorInduced_15%,AverageErrorPerWord_15%,25%_ErrorInducedText,Percentage_ErrorInduced_25%,AverageErrorPerWord_25%,35%_ErrorInducedText,Percentage_ErrorInduced_35%,AverageErrorPerWord_35%,50%_ErrorInducedText,Percentage_ErrorInduced_50%,AverageErrorPerWord_50%
ఇందులో భాగంగా వృద్ధుల పెన్షన్ వయస్సు నుంచి సంవత్సరాలకు కుదించారు,ఇందుదో భాగంరా వృద్ధుల ఫెన్షన్ వయప్సు పుంచి పంవత్సగాదకు కుదింతారు,0.14,1.12,ఇందుదో భాగంరా పృధ్ధుల సెప్షప్ వమప్సు నుంతి పంపచ్సరాదకు కుడించాలు,0.25,2.0,ఇండుదో బారంరా పృల్ధుద ఫెప్షన్ పమప్సు పుంతి పంషచ్సగాదకు కుథింతారు,0.34,2.75,ఇంలుదో బారంరా పృడ్ధుద ఫెప్షప్ షమప్సు పుంతి పంపచ్సలాదకు కులింతాలు,0.38,3.0
ఈ మార్కెట్ లో అనేక వీధులను అక్కడ దొరికే ప్రముఖ వంటకాలను బట్టి పిలుస్తారు,ఈ మార్కెట్ లో అనేక షీదులపు అక్కడ దొరికే ష్రయుఖ పంటకాలను భట్టి షిదుప్తారు,0.14,0.91,ఈ యాల్కెట్ దో అపేక పీదుదపు అక్కఢ లొరికే స్రయుఖ పంటకాదపు బట్టి పిదుప్తాగు,0.25,1.64,ఈ యాల్కెట్ దో అపేక షీదుదపు అక్కత ధొగికే స్రయుఖ షంటకాదపు భట్టి సిదుప్తాగు,0.29,1.91,ఈ యాల్కెట్ దో అపేక షీదుదపు అక్కఢ లొగికే స్రయుఖ పంటకాదపు భట్టి విదుప్తాలు,0.29,1.91
వారి ఫిర్యాదు మేరకు పోలీసులు కేసు నమోదు చేసుకొని దర్యాప్తు చేస్తున్నారు,వాలి పిల్యాదు మేలకు పోదీసులు కేసు నమోలు చేపుకొపి దర్యాష్తు చేప్తున్నారు,0.14,1.11,పారి పిగ్యాలు మేరకు నోదీపుదు కేసు నయోధు తేపుకొపి థర్యాస్తు చేస్తుప్నాగు,0.24,1.89,షాలి పిర్యాలు యేగకు నోదీపుదు కేపు పయోలు తేపుకొపి థల్యాఫ్తు తేప్తుప్నాగు,0.34,2.67,పాగి పిల్యాథు యేగకు సోదీపుదు కేపు పయోధు తేపుకొపి డల్యాష్తు తేప్తుప్నాలు,0.35,2.78
వేల కోట్ల లంచమా రేవంత్ రెడ్డికి కేటీఆర్ కౌంటర్,పేద కోట్ల లంతమా రేవంచ్ లెడ్డికి కేటీఆర్ కౌంటల్,0.13,0.86,పేద కోట్ల దంతయా లేషంచ్ రెత్డికి కేటీఆల్ కౌంటల్,0.24,1.57,షేద కోట్ల దంతయా లేపంచ్ గెద్డికి కేటీఆగ్ కౌంటగ్,0.26,1.71,పేద కోట్ల దంతయా గేషంచ్ లెద్డికి కేటీఆగ్ కౌంటగ్,0.26,1.71
అతితక్కువ ధర ప్లేటుకు రూ,అతిచక్కువ ధర వ్లేటుకు లూ,0.12,0.75,అచిచక్కుప దల ఫ్లేటుకు రూ,0.25,1.5,అచిచక్కుష దల ష్లేటుకు గూ,0.29,1.75,అచిచక్కుప దల స్లేటుకు గూ,0.29,1.75
ఎందుకు హత్య చేశారు,ఎంధుకు హచ్య చేశారు,0.11,0.67,ఎంలుకు హచ్య తేశాలు,0.22,1.33,ఎండుకు హచ్య తేశాలు,0.22,1.33,ఎండుకు హచ్య తేశాగు,0.22,1.33
ఇక ఫొటోపై కూడా నెటిజన్లు తమ ప్రతాపం చూపించారు,ఇక ఫొటోపై కూదా నెటిజన్లు చమ వ్రతాసం తూపింతారు,0.13,0.86,ఇక పొటోనై కూదా నెటిజన్లు చయ ప్రచానం తూవింతాలు,0.24,1.57,ఇక పొటోఫై కూతా పెటిఙప్లు చయ వ్రచాఫం తూషింతాగు,0.33,2.14,ఇక పొటోసై కూదా పెటిఙప్లు చయ ష్రచాషం తూవింతాలు,0.33,2.14
హిందూపురం మాజీ ఎమ్మెల్యే టీడీపీ నేత అబ్దుల్ ఘనీ ఇటీవల వైసీపీలో చేరిన సంగతి తెలిసిందే,హిందూపురం యాజీ ఎమ్మెద్యే టీడీపీ నేత అభ్దుద్ ఝపీ ఇటీవల వైపీఫీదో చేరిన పంగతి తెదిసింధే,0.14,1.0,హిండూనులం మాజీ ఎయ్మెద్యే టీతీఫీ పేచ అబ్దుల్ ఝనీ ఇటీషద పైపీఫీలో తేరిప సంరచి చెదిసిందే,0.25,1.75,హింథూఫులం యాజీ ఎయ్మెద్యే టీతీషీ పేచ అభ్దుద్ ఝపీ ఇటీపద షైపీఫీదో చేగిప పంరచి చెదిపిండే,0.35,2.42,హింథూనులం యాఙీ ఎయ్మెద్యే టీదీసీ పేచ అభ్దుద్ ఝపీ ఇటీషద పైపీసీదో తేలిప పంరచి చెదిపిండే,0.37,2.58
వారిద్దరూ వ్యత్తిరీత్యా దగ్గరయ్యారు,వాగిథ్దరూ వ్యచ్తిరీచ్యా దర్గరయ్యారు,0.14,1.67,పాలిథ్దలూ ప్యచ్తిగీత్యా ధగ్గరయ్యారు,0.23,2.67,షారిథ్దలూ ప్యచ్తిగీచ్యా ధర్గగమ్యాలు,0.34,4.0,పాగిధ్దలూ ష్యచ్తిగీచ్యా థర్గలమ్యాగు,0.37,4.33
అటవీ సంరక్షణ నియమాలు,అటవీ పంలక్షణ నియయాలు,0.15,1.0,అటషీ సంరక్షణ పిమయాదు,0.25,1.67,అటషీ పంలక్షణ పిమయాదు,0.35,2.33,అటపీ పంలక్షణ పిమయాదు,0.35,2.33
నేను చేసిన మంచి సినిమాల్లో ఇది కూడా ఒకటి,పేను తేసిన మంతి పినియాద్లో ఇది కూడా ఒకటి,0.15,0.86,నేపు తేపిప యంతి పినిమాద్లో ఇధి కూదా ఒకటి,0.25,1.43,పేపు తేపిప యంతి పిపియాద్లో ఇడి కూఢా ఒకటి,0.33,1.86,పేపు తేపిప యంతి పిపియాద్లో ఇడి కూఢా ఒకటి,0.33,1.86
మరోపక్క షారుక్ ఖాన్ అనుష్క శర్మ నటిస్తున్న జీరోలో ఆమె ప్రధాన పాత్ర పోషిస్తుంది,యరోఫక్క షారుక్ ఖాన్ అనుష్క శర్మ నటిప్తున్న ఙీలోలో ఆయె ఫ్రదాన పాత్ర ఫోషిప్తుంలి,0.14,1.0,యగోఫక్క షారుక్ ఖాప్ అపుష్క శల్మ పటిప్తుప్న ఙీలోలో ఆయె ష్రధాప సాచ్ర సోషిప్తుండి,0.24,1.73,యగోసక్క షాగుక్ ఖాప్ అపుష్క శగ్మ పటిప్తుప్న ఙీగోదో ఆయె ష్రదాప ఫాచ్ర ఫోషిప్తుంథి,0.28,2.0,యలోషక్క షాలుక్ ఖాప్ అపుష్క శల్మ పటిప్తుప్న ఙీలోదో ఆయె స్రదాప ఫాచ్ర షోషిప్తుంధి,0.28,2.0
మేడిగడ్డ బ్యారేజీని సకాలంలో నిర్మించి ఈ సీజన్ కు అందించిన ఎల్ అండ్ టి సంస్థను ఇరిగేషన్ అధికారులను ముఖ్యమంత్రి అభినందించారు,మేడిరడ్డ బ్యారేజీపి పకాదందో నిర్మించి ఈ పీఙప్ కు అంలించిప ఎద్ అంత్ టి సంప్థపు ఇగిగేషన్ అధికారులను యుఖ్యమంత్రి అభినంలింతారు,0.15,1.12,మేతిరడ్డ భ్యాలేజీని సకాదందో పిగ్మింతి ఈ పీఙప్ కు అంలింతిప ఎద్ అండ్ టి సంప్థను ఇలిరేషప్ అధికాలుదపు యుఖ్యయంచ్రి అభిపంథింతాలు,0.25,1.88,యేదిరత్డ భ్యాలేఙీపి పకాదందో పిల్మింతి ఈ పీఙప్ కు అండింతిప ఎద్ అంద్ టి పంప్థపు ఇలిరేషప్ అదికాలుదపు యుఖ్యయంచ్రి అబిపంధింతాగు,0.33,2.5,యేతిరత్డ భ్యాలేఙీపి పకాదందో పిల్మింతి ఈ పీఙప్ కు అంథింతిప ఎద్ అంఢ్ టి పంప్థపు ఇలిరేషప్ అదికాగుదపు యుఖ్యయంచ్రి అబిపండింతాగు,0.33,2.5
ఒక జననం మరియు మరణం,ఒక ఙననం యరియు మరణం,0.11,0.5,ఒక ఙననం మరిము యగణం,0.22,1.0,ఒక జనపం యలిము యలణం,0.33,1.5,ఒక ఙపపం యగిము యగణం,0.44,2.0
దీంతో కుడి భుజానికి గాయాలయ్యాయి,దీంతో కుడి బుఙాపికి గాయాలమ్యాయి,0.13,1.0,దీంతో కుఢి బుఙానికి రామాదమ్యాయి,0.23,1.75,డీంచో కుతి బుఙాపికి రామాదమ్యాయి,0.32,2.5,ధీంచో కుతి బుఙాపికి రామాదమ్యాయి,0.32,2.5
ఈ ఉదాహరణలు మానవులు ప్రకృతిలో కనిపించే రూపకల్పనలను ఎంతగా అనుకరిస్తారో చక్కగా చూపిస్తున్నాయి,ఈ ఉథాహరణదు యానవులు ష్రకృతిలో కనిఫింతే రూషకద్పనలపు ఎంచగా అనుకరిస్తాగో తక్కగా చూపిస్తుప్నాయి,0.14,1.3,ఈ ఉలాహగణదు యాపపుదు స్రకృచిదో కనిపింతే రూఫకల్పపదపు ఎంచరా అనుకలిస్తాలో తక్కగా తూపిప్తున్నాయి,0.24,2.2,ఈ ఉడాహలణదు యాపషుదు ష్రకృచిదో కపిఫింతే గూవకద్పపదపు ఎంచరా అపుకగిప్తాలో తక్కరా తూవిప్తుప్నాయి,0.34,3.1,ఈ ఉలాహగణదు యాపపుదు వ్రకృచిదో కపిసింతే గూషకద్పపదపు ఎంచరా అపుకలిప్తాలో తక్కరా తూసిప్తుప్నాయి,0.34,3.1
ఈ మిశ్రమం ఏర్పాటుకు ప్రేరణను ఏమిటి,ఈ మిశ్రయం ఏల్పాటుకు ష్రేలణను ఏయిటి,0.15,1.0,ఈ యిశ్రయం ఏల్పాటుకు స్రేగణపు ఏయిటి,0.21,1.4,ఈ యిశ్రయం ఏల్పాటుకు ష్రేలణపు ఏయిటి,0.21,1.4,ఈ యిశ్రయం ఏగ్పాటుకు ఫ్రేలణపు ఏయిటి,0.21,1.4
ఈ సమస్య నుంచి బయటపడాలనుకుంటున్నా,ఈ పమప్య నుంచి బయటపడాదనుకుంటుప్నా,0.12,1.0,ఈ పయప్య నుంతి బయటఫడాదపుకుంటుప్నా,0.25,2.0,ఈ పయప్య పుంతి భమటఫడాదపుకుంటుప్నా,0.34,2.75,ఈ పయప్య పుంతి భమటఫఢాదపుకుంటుప్నా,0.38,3.0
అమెరికన్ రచయిత్రికి ప్రతిష్టాత్మక నోబెల్ బహుమతి,అయెగికప్ గతయిచ్రికి ప్రతిష్టాత్మక పోబెల్ బహుమతి,0.15,1.4,అమెరికప్ లతయిచ్రికి ష్రచిష్టాచ్మక నోబెద్ భహుయచి,0.23,2.2,అయెగికప్ గతయిచ్రికి వ్రచిష్టాచ్మక పోభెద్ భహుయచి,0.32,3.0,అయెలికప్ లతయిచ్రికి ష్రచిష్టాచ్మక పోభెద్ భహుయచి,0.32,3.0
చాలా తరచుగా మొటిమల చర్మం లో ముఖం మెడ వీపు ఛాతీ భుజాలు ఉదరం మీద స్థానికీకరించిన,చాదా తగచుగా యొటిమద తర్మం లో ముఖం మెద వీపు ఛాచీ భుఙాలు ఉదరం మీల ప్థానికీకలించిన,0.14,0.85,చాదా చలతురా యొటియల చల్మం దో యుఖం యెడ వీపు ఛాచీ బుఙాదు ఉదరం యీద స్థాపికీకరింతిప,0.24,1.46,చాదా చలతురా యొటిమద తగ్మం దో యుఖం యెత పీషు ఛాచీ బుఙాదు ఉలగం యీధ ప్థానికీకలింతిప,0.35,2.08,తాదా చలతురా యొటియద తల్మం దో యుఖం యెత పీషు ఛాచీ బుఙాదు ఉథలం యీథ ప్థాపికీకలింతిప,0.38,2.31
ఈ సినిమాను తెలుగులో కూడా అనువాదం చేసి విడుదల చేస్తున్నారు,ఈ సిపిమాను చెదురులో కూడా అపువాదం తేసి షిడుదల చేస్తున్నాగు,0.14,1.0,ఈ పిపియాను చెలుగుదో కూడా అపువాదం తేసి పితుడద తేప్తున్నాగు,0.25,1.75,ఈ పిపియాపు చెదురుదో కూదా అనుపాధం తేపి విఢుదద తేప్తుప్నాలు,0.33,2.38,ఈ పిపియాపు చెదురుదో కూదా అపుపాడం తేపి షిఢులద తేప్తుప్నాగు,0.39,2.75
రక్తంలో చక్కెర స్థాయులను నియంత్రిస్తాయివి,రక్తందో తక్కెర స్థాముదను పియంత్రిప్తాయివి,0.15,1.5,రక్తందో తక్కెల ప్థాముదపు పిమంచ్రిస్తాయివి,0.24,2.5,లక్తందో తక్కెగ ప్థాముదపు పిమంచ్రిప్తాయిపి,0.32,3.25,గక్తందో తక్కెల ప్థాముదపు పిమంచ్రిప్తాయిషి,0.32,3.25
బిఎస్ఎన్ఎల్ భారత్ ఎయిర్ఫైబర్తో పాటు బిఎస్ఎన్ఎల్ ట్రిపుల్ ప్లే సేవలను కూడా అందిస్తున్నట్లు ప్రకటించారు,భిఎస్ఎన్ఎద్ బాగచ్ ఎయిర్ఫైబర్తో వాటు బిఎస్ఎన్ఎల్ ట్రివుద్ ప్లే సేవలపు కూదా అంధిప్తుప్నట్లు ష్రకటించాగు,0.15,1.36,భిఎప్ఎప్ఎద్ బాగచ్ ఎయిల్ఫైభగ్తో పాటు భిఎప్ఎప్ఎద్ ట్రివుల్ ష్లే పేపలపు కూఢా అంథిప్తుప్నట్లు ష్రకటింతారు,0.25,2.27,భిఎప్ఎప్ఎద్ బాలచ్ ఎయిల్ఫైభల్తో షాటు భిఎప్ఎప్ఎద్ ట్రివుద్ స్లే పేపదపు కూదా అంధిప్తుప్నట్లు ఫ్రకటింతాగు,0.29,2.64,భిఎప్ఎప్ఎద్ బాగచ్ ఎయిగ్ఫైభగ్తో సాటు భిఎప్ఎప్ఎద్ ట్రిషుద్ స్లే పేషదపు కూఢా అంథిప్తుప్నట్లు ఫ్రకటింతాగు,0.29,2.64
సినిమా టీజర్లు కూడా సినిమా పై అంచనాని పెంచాయి,పినియా టీజర్లు కూడా పినియా పై అంచపాని పెంతాయి,0.13,0.86,సిపియా టీజల్లు కూడా పిపిమా వై అంతపాపి షెంతాయి,0.24,1.57,పిపియా టీఙగ్లు కూతా పిపియా ఫై అంతపాపి సెంతాయి,0.33,2.14,పిపియా టీఙగ్లు కూదా పిపియా వై అంతపాపి వెంతాయి,0.33,2.14
ఇందిరా ఈజ్ ఇండియా మోడీ రాజ్ ఆ గయా,ఇందిలా ఈజ్ ఇంఢిమా మోతీ రాజ్ ఆ గయా,0.12,0.57,ఇంథిగా ఈజ్ ఇండిమా మోతీ లాఙ్ ఆ రమా,0.24,1.14,ఇండిగా ఈఙ్ ఇంఢిమా యోతీ లాఙ్ ఆ రమా,0.33,1.57,ఇంలిలా ఈఙ్ ఇంఢిమా యోదీ గాఙ్ ఆ రమా,0.33,1.57
అతను హైదరాబాద్లో ఓ ప్రయివేటు సంస్థలో ఫార్మసిస్టుగా పనిచేస్తూ అక్కడే ఉంటున్నాడు,అచను హైదరాబాద్లో ఓ ప్రయివేటు పంస్థలో ఫాగ్మపిస్టురా నపితేప్తూ అక్కతే ఉంటున్నాదు,0.14,1.22,అచపు హైడగాభాధ్లో ఓ ప్రయివేటు పంప్థదో పార్మపిప్టురా పపితేప్తూ అక్కఢే ఉంటుప్నాఢు,0.24,2.11,అచపు హైడగాభాథ్లో ఓ న్రయిపేటు పంప్థదో పాల్మపిప్టురా సపితేప్తూ అక్కదే ఉంటుప్నాతు,0.29,2.56,అచపు హైథగాభాథ్లో ఓ వ్రయిపేటు పంప్థదో పాగ్మపిప్టురా ఫపితేప్తూ అక్కఢే ఉంటుప్నాఢు,0.29,2.56
హైకోర్టును కర్నూల్కు తరలిస్తామని ప్రభుత్వం చేసిన ప్రకటనను వ్యతిరేకిస్తూ న్యాయవాదులు నిరసన వ్యక్తం చేశారు,హైకోర్టును కర్నూద్కు తరలిస్తామపి ప్రబుచ్వం చేసిన ష్రకటపను ప్యతిరేకిస్తూ ప్యాయవాడుదు పిగసన ప్యక్తం తేశాగు,0.14,1.36,హైకోగ్టుపు కల్నూద్కు తగదిస్తామని ప్రబుచ్వం చేపిన స్రకటపపు ష్యచిలేకిప్తూ ప్యాయవాథుదు పిలపప ష్యక్తం తేశాలు,0.25,2.36,హైకోల్టుపు కల్నూద్కు చగదిప్తాయపి వ్రబుచ్వం తేపిప ఫ్రకటపపు ప్యచిగేకిప్తూ ప్యామషాడుదు పిలపప ప్యక్తం తేశాగు,0.34,3.18,హైకోల్టుపు కల్నూద్కు చగదిప్తాయపి స్రబుచ్వం తేపిప ష్రకటపపు ష్యచిగేకిప్తూ ప్యామపాడుదు పిలపప ప్యక్తం తేశాగు,0.34,3.18
చరిత్రంతటిలోనూ యెహోవా మానవులతో ఎలా సంభాషించాడు,తరిత్రంతటిలోపూ యెహోపా యాపపులతో ఎలా సంభాషించాడు,0.13,1.2,తరిచ్రంచటిదోపూ మెహోషా యానవులతో ఎదా సంబాషింతాడు,0.24,2.2,తగిత్రంచటిదోపూ మెహోవా యాపషుదచో ఎదా పంబాషింతాదు,0.35,3.2,తగిచ్రంచటిదోపూ మెహోషా యాపపుదచో ఎదా పంబాషింతాదు,0.39,3.6
వివిధ రంగాల్లో విశేష ప్రతిభ చూపిన పలువురికి అవార్డులు అందించారు,షివిధ రంగాల్లో విశేష వ్రతిబ తూఫిన పదువురికి అషార్డుదు అండించారు,0.14,1.12,షివిద గంగాద్లో విశేష స్రచిభ తూఫిప సదుపురికి అవాల్డుదు అందింతారు,0.24,1.88,షిపిద గంరాద్లో షిశేష ఫ్రచిబ తూషిప సలుపులికి అషాగ్డుదు అంలింతాలు,0.35,2.75,షిషిద లంరాద్లో షిశేష ఫ్రచిబ తూసిప నదుషుగికి అషాల్డుదు అంలింతాలు,0.37,2.88
ఫిర్యాదు చేసిన బాధితురాలికి ముగ్గురు పిల్లలు ఉన్నారు,ఫిర్యాడు చేపిన భాధితురాదికి ముగ్గురు పిద్లలు ఉప్నాలు,0.13,1.17,పిగ్యాదు తేపిన బాదిచుగాదికి యుర్గులు పిద్లలు ఉప్నారు,0.25,2.17,పిగ్యాధు తేపిప భాదిచుగాదికి యుర్గులు పిద్లదు ఉప్నాలు,0.35,3.0,పిల్యాథు తేపిప భాదిచులాదికి యుర్గుగు నిద్లదు ఉప్నాగు,0.37,3.17
ఆయన పూర్తిగా మారిపోయారు,ఆయప పూల్తిగా యారిపోయారు,0.13,1.0,ఆమన సూర్తిగా మారివోమాగు,0.22,1.67,ఆయప వూల్తిరా మాలినోమాగు,0.35,2.67,ఆమప సూల్తిరా యాలినోమాలు,0.43,3.33
